partecipant,session,type,understood,stuck,count
1,039412d23bc3d53dff,ML,3,1,3
1,039412d23bc3d53dff,ML,2,1,6
1,039412d23bc3d53dff,ML,1,1,6
1,039412d23bc3d53dff,ML,5,1,1
1,039412d23bc3d53dff,ML,4,1,3
1,4b93cc61ab060bdcae,BL,4,1,2
1,4b93cc61ab060bdcae,BL,3,1,4
1,4b93cc61ab060bdcae,BL,3,1,2
1,4b93cc61ab060bdcae,BL,4,1,1
1,4b93cc61ab060bdcae,BL,4,1,2
2,f97b3e885736d718c6,ML,4,2,9
2,f97b3e885736d718c6,ML,5,1,4
2,f97b3e885736d718c6,ML,4,2,4
2,f97b3e885736d718c6,ML,5,1,1
2,f97b3e885736d718c6,ML,5,1,1
2,6356d288128446ba97,BL,4,2,5
2,6356d288128446ba97,BL,5,2,4
2,6356d288128446ba97,BL,4,2,2
2,6356d288128446ba97,BL,5,1,1
2,6356d288128446ba97,BL,4,2,2
3,2abb9104ac0296232a,ML,2,4,4
3,2abb9104ac0296232a,ML,3,3,2
3,2abb9104ac0296232a,ML,5,1,4
3,2abb9104ac0296232a,ML,5,1,2
3,2abb9104ac0296232a,ML,5,1,2
3,bc8dfc5a33a1ab1c42,BL,5,1,5
3,bc8dfc5a33a1ab1c42,BL,3,3,3
3,bc8dfc5a33a1ab1c42,BL,2,4,6
3,bc8dfc5a33a1ab1c42,BL,5,1,1
3,bc8dfc5a33a1ab1c42,BL,5,1,3
4,7666b467315b74862b,ML,4,3,5
4,7666b467315b74862b,ML,3,2,5
4,7666b467315b74862b,ML,3,2,6
4,7666b467315b74862b,ML,5,2,3
4,7666b467315b74862b,ML,4,2,4
4,7666b467315b74862b,BL,4,2,7
4,7666b467315b74862b,BL,5,2,3
4,7666b467315b74862b,BL,3,3,5
4,7666b467315b74862b,BL,4,2,2
4,7666b467315b74862b,BL,5,2,2
5,2ef19d547318b8a5b7,ML,3,2,5
5,2ef19d547318b8a5b7,ML,3,2,3
5,2ef19d547318b8a5b7,ML,4,2,5
5,2ef19d547318b8a5b7,ML,4,2,2
5,2ef19d547318b8a5b7,ML,5,2,2
5,2ef19d547318b8a5b7,BL,4,2,5
5,2ef19d547318b8a5b7,BL,4,2,6
5,2ef19d547318b8a5b7,BL,3,2,3
5,2ef19d547318b8a5b7,BL,5,2,2
5,2ef19d547318b8a5b7,BL,5,2,3
6,0abe9aa3bb498e151e,ML,3,2,4
6,0abe9aa3bb498e151e,ML,3,2,3
6,0abe9aa3bb498e151e,ML,2,2,4
6,0abe9aa3bb498e151e,ML,5,2,2
6,0abe9aa3bb498e151e,ML,4,2,4
6,0abe9aa3bb498e151e,BL,5,2,5
6,0abe9aa3bb498e151e,BL,5,3,2
6,0abe9aa3bb498e151e,BL,2,2,5
6,0abe9aa3bb498e151e,BL,4,2,4
6,0abe9aa3bb498e151e,BL,4,2,5
7,ccff9937e26c57059e,ML,2,3,8
7,ccff9937e26c57059e,ML,3,2,6
7,ccff9937e26c57059e,ML,3,2,6
7,ccff9937e26c57059e,ML,5,2,3
7,ccff9937e26c57059e,ML,4,2,4
7,ccff9937e26c57059e,BL,4,2,5
7,ccff9937e26c57059e,BL,4,2,3
7,ccff9937e26c57059e,BL,3,3,6
7,ccff9937e26c57059e,BL,5,2,3
7,ccff9937e26c57059e,BL,4,2,5
8,ff95d5ea8ddbcbdf20,ML,3,2,8
8,ff95d5ea8ddbcbdf20,ML,2,2,5
8,ff95d5ea8ddbcbdf20,ML,2,2,4
8,ff95d5ea8ddbcbdf20,ML,4,2,3
8,ff95d5ea8ddbcbdf20,ML,5,2,2
8,ff95d5ea8ddbcbdf20,BL,4,2,6
8,ff95d5ea8ddbcbdf20,BL,4,2,2
8,ff95d5ea8ddbcbdf20,BL,3,2,6
8,ff95d5ea8ddbcbdf20,BL,5,2,4
8,ff95d5ea8ddbcbdf20,BL,4,2,5
9,f57b3a31994f180c27,ML,3,2,8
9,f57b3a31994f180c27,ML,3,2,3
9,f57b3a31994f180c27,ML,3,2,7
9,f57b3a31994f180c27,ML,4,2,3
9,f57b3a31994f180c27,ML,5,2,4
9,f57b3a31994f180c27,BL,3,2,4
9,f57b3a31994f180c27,BL,4,3,4
9,f57b3a31994f180c27,BL,4,3,4
9,f57b3a31994f180c27,BL,5,2,3
9,f57b3a31994f180c27,BL,4,2,5
10,1215dda70b5da665fc,ML,3,2,4
10,1215dda70b5da665fc,ML,4,3,4
10,1215dda70b5da665fc,ML,3,2,3
10,1215dda70b5da665fc,ML,5,2,3
10,1215dda70b5da665fc,ML,4,2,2
10,1215dda70b5da665fc,BL,4,2,7
10,1215dda70b5da665fc,BL,4,3,3
10,1215dda70b5da665fc,BL,3,2,5
10,1215dda70b5da665fc,BL,5,2,2
