partecipant,session,type,understood,stuck,count
1,039412d23bc3d53dff,ML,neutral,strongly disagree,3
1,039412d23bc3d53dff,ML,disagree,strongly disagree,6
1,039412d23bc3d53dff,ML,strongly disagree,strongly disagree,6
1,039412d23bc3d53dff,ML,strongly agree,strongly disagree,1
1,039412d23bc3d53dff,ML,agree,strongly disagree,3
1,4b93cc61ab060bdcae,BL,agree,strongly disagree,2
1,4b93cc61ab060bdcae,BL,neutral,strongly disagree,4
1,4b93cc61ab060bdcae,BL,neutral,strongly disagree,2
1,4b93cc61ab060bdcae,BL,agree,strongly disagree,1
1,4b93cc61ab060bdcae,BL,agree,strongly disagree,2
2,f97b3e885736d718c6,ML,agree,disagree,9
2,f97b3e885736d718c6,ML,strongly agree,strongly disagree,4
2,f97b3e885736d718c6,ML,agree,disagree,4
2,f97b3e885736d718c6,ML,strongly agree,strongly disagree,1
2,f97b3e885736d718c6,ML,strongly agree,strongly disagree,1
2,6356d288128446ba97,BL,agree,disagree,5
2,6356d288128446ba97,BL,strongly agree,disagree,4
2,6356d288128446ba97,BL,agree,disagree,2
2,6356d288128446ba97,BL,strongly agree,strongly disagree,1
2,6356d288128446ba97,BL,agree,disagree,2
3,2abb9104ac0296232a,ML,disagree,agree,4
3,2abb9104ac0296232a,ML,neutral,neutral,2
3,2abb9104ac0296232a,ML,strongly agree,strongly disagree,4
3,2abb9104ac0296232a,ML,strongly agree,strongly disagree,2
3,2abb9104ac0296232a,ML,strongly agree,strongly disagree,2
3,bc8dfc5a33a1ab1c42,BL,strongly agree,strongly disagree,5
3,bc8dfc5a33a1ab1c42,BL,neutral,neutral,3
3,bc8dfc5a33a1ab1c42,BL,disagree,agree,6
3,bc8dfc5a33a1ab1c42,BL,strongly agree,strongly disagree,1
3,bc8dfc5a33a1ab1c42,BL,strongly agree,strongly disagree,3
4,7666b467315b74862b,ML,agree,neutral,5
4,7666b467315b74862b,ML,neutral,disagree,5
4,7666b467315b74862b,ML,neutral,disagree,6
4,7666b467315b74862b,ML,strongly agree,disagree,3
4,7666b467315b74862b,ML,agree,disagree,4
4,7666b467315b74862b,BL,agree,disagree,7
4,7666b467315b74862b,BL,strongly agree,disagree,3
4,7666b467315b74862b,BL,neutral,neutral,5
4,7666b467315b74862b,BL,agree,disagree,2
4,7666b467315b74862b,BL,strongly agree,disagree,2
5,2ef19d547318b8a5b7,ML,neutral,disagree,5
5,2ef19d547318b8a5b7,ML,neutral,disagree,3
5,2ef19d547318b8a5b7,ML,agree,disagree,5
5,2ef19d547318b8a5b7,ML,agree,disagree,2
5,2ef19d547318b8a5b7,ML,strongly agree,disagree,2
5,2ef19d547318b8a5b7,BL,agree,disagree,5
5,2ef19d547318b8a5b7,BL,agree,disagree,6
5,2ef19d547318b8a5b7,BL,neutral,disagree,3
5,2ef19d547318b8a5b7,BL,strongly agree,disagree,2
5,2ef19d547318b8a5b7,BL,strongly agree,disagree,3
6,0abe9aa3bb498e151e,ML,neutral,disagree,4
6,0abe9aa3bb498e151e,ML,neutral,disagree,3
6,0abe9aa3bb498e151e,ML,disagree,disagree,4
6,0abe9aa3bb498e151e,ML,strongly agree,disagree,2
6,0abe9aa3bb498e151e,ML,agree,disagree,4
6,0abe9aa3bb498e151e,BL,strongly agree,disagree,5
6,0abe9aa3bb498e151e,BL,strongly agree,neutral,2
6,0abe9aa3bb498e151e,BL,disagree,disagree,5
6,0abe9aa3bb498e151e,BL,agree,disagree,4
6,0abe9aa3bb498e151e,BL,agree,disagree,5
7,ccff9937e26c57059e,ML,disagree,neutral,8
7,ccff9937e26c57059e,ML,neutral,disagree,6
7,ccff9937e26c57059e,ML,neutral,disagree,6
7,ccff9937e26c57059e,ML,strongly agree,disagree,3
7,ccff9937e26c57059e,ML,agree,disagree,4
7,ccff9937e26c57059e,BL,agree,disagree,5
7,ccff9937e26c57059e,BL,agree,disagree,3
7,ccff9937e26c57059e,BL,neutral,neutral,6
7,ccff9937e26c57059e,BL,strongly agree,disagree,3
7,ccff9937e26c57059e,BL,agree,disagree,5
8,ff95d5ea8ddbcbdf20,ML,neutral,disagree,8
8,ff95d5ea8ddbcbdf20,ML,disagree,disagree,5
8,ff95d5ea8ddbcbdf20,ML,disagree,disagree,4
8,ff95d5ea8ddbcbdf20,ML,agree,disagree,3
8,ff95d5ea8ddbcbdf20,ML,strongly agree,disagree,2
8,ff95d5ea8ddbcbdf20,BL,agree,disagree,6
8,ff95d5ea8ddbcbdf20,BL,agree,disagree,2
8,ff95d5ea8ddbcbdf20,BL,neutral,disagree,6
8,ff95d5ea8ddbcbdf20,BL,strongly agree,disagree,4
8,ff95d5ea8ddbcbdf20,BL,agree,disagree,5
9,f57b3a31994f180c27,ML,neutral,disagree,8
9,f57b3a31994f180c27,ML,neutral,disagree,3
9,f57b3a31994f180c27,ML,neutral,disagree,7
9,f57b3a31994f180c27,ML,agree,disagree,3
9,f57b3a31994f180c27,ML,strongly agree,disagree,4
9,f57b3a31994f180c27,BL,neutral,disagree,4
9,f57b3a31994f180c27,BL,agree,neutral,4
9,f57b3a31994f180c27,BL,agree,neutral,4
9,f57b3a31994f180c27,BL,strongly agree,disagree,3
9,f57b3a31994f180c27,BL,agree,disagree,5
10,1215dda70b5da665fc,ML,neutral,disagree,4
10,1215dda70b5da665fc,ML,agree,neutral,4
10,1215dda70b5da665fc,ML,neutral,disagree,3
10,1215dda70b5da665fc,ML,strongly agree,disagree,3
10,1215dda70b5da665fc,ML,agree,disagree,2
10,1215dda70b5da665fc,BL,agree,disagree,7
10,1215dda70b5da665fc,BL,agree,neutral,3
10,1215dda70b5da665fc,BL,neutral,disagree,5
10,1215dda70b5da665fc,BL,strongly agree,disagree,2
10,1215dda70b5da665fc,BL,agree,disagree,2
11,b987526d38b0b781c2,ML,neutral,neutral,5
11,b987526d38b0b781c2,ML,neutral,disagree,3
11,b987526d38b0b781c2,ML,neutral,disagree,4
11,b987526d38b0b781c2,ML,strongly agree,disagree,3
11,b987526d38b0b781c2,ML,strongly agree,disagree,3
