restaurantname,pricerange,area,food,phone,addr,postcode,food_quality,crowdedness,stay_length
saint johns chop house,moderate,west,british,01223 353110,21 - 24 northampton street,c.b 3,mediocre food,not busy,short stay
restaurant alimentum,moderate,north,modern european,01223 413000,152 - 154 hills road,c.b 2,bad food,busy,long stay
pizza hut cherry hinton,moderate,south,italian,01223 323737,g4 cambridge leisure park clifton way cherry hinton,c.b 1,mediocre food,busy,short stay
the gardenia,moderate,west,romanian,01223 356354,2 rose crescent city centre,c.b 2,mediocre food,busy,long stay
loch fyne,moderate,centre,seafood,01223 362433,the little rose 37 trumpington street,c.b 2,bad food,not busy,short stay
yu garden,expensive,east,chinese,01223 248882,529 newmarket road fen ditton,c.b 5,good food,not busy,long stay
sitar tandoori,expensive,east,steakhouse,01223 249955,43 high street cherry hinton cherry hinton,c.b 1,good food,busy,short stay
saigon city,expensive,north,asian oriental,01223 356555,169 high street chesterton chesterton,c.b 4,good food,busy,long stay
restaurant two two,expensive,north,french,01223 351880,22 chesterton road chesterton,c.b 4,good food,busy,long stay
the hotpot,expensive,north,chinese,01223 366552,66 chesterton road chesterton,c.b 4,good food,not busy,short stay
nandos,cheap,south,portuguese,01223 327908,cambridge leisure park clifton way,c.b 1,bad food,busy,short stay
peking restaurant,expensive,south,chinese,01223 354755,10 homerton street city centre,c.b 2,bad food,busy,short stay
rajmahal,moderate,east,indian,01223 244955,7 barnwell road fen ditton,c.b 5,good food,not busy,long stay
pizza hut fen ditton,moderate,east,italian,01223 323737,cambridge retail park newmarket road fen ditton,c.b 5,bad food,busy,short stay
the missing sock,cheap,south,chinese,01223 812660,finders corner newmarket road,c.b 25,mediocre food,not busy,short stay
royal standard,expensive,east,spanish,01223 247877,290 mill road city centre,c.b 1,mediocre food,busy,long stay
grafton hotel restaurant,expensive,east,british,01223 241387,grafton hotel 619 newmarket road fen ditton,c.b 5,bad food,busy,long stay
dojo noodle bar,expensive,centre,asian oriental,01223 363471,40210 millers yard city centre,c.b 2,good food,busy,long stay
cambridge lodge restaurant,expensive,west,european,01223 355166,cambridge lodge hotel 139 huntingdon road city centre,c.b 3,good food,busy,long stay
thanh binh,cheap,west,vietnamese,01223 362456,17 magdalene street city centre,c.b 3,bad food,busy,short stay
